vehicle_type,63,125,250,500,1000,2000,4000,8000
Ld,41.729572,44.762886,51.003006,58.07658,65.920906,64.17305,56.921913,46.83423
Le,48.38093,52.352287,61.774796,66.98778,71.283806,68.22963,61.498047,53.686462
Ln,33.610302,42.296013,51.1103,60.19601,65.12457,67.6103,62.11029,54.724586
