"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
1,172260488,"Via Manara Valgimigli","tertiary",4,"43.7148018,10.4228048","43.7149967,10.4186284",98.545,1286,28,163,"night"
2,172260489,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",231.876,338,19,64,"night"
3,172260488,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",98.545,338,19,64,"night"
4,332517044,"Via Silvestro Centofanti","residential",3,"43.7189284,10.4122208","43.7200957,10.4118406",135.941,135,26,19,"night"
5,102841475,"Via Giuseppe Garibaldi","tertiary",4,"43.7183882,10.4185568","43.7155623,10.4126274",581.647,580,39,54,"night"
6,23652392,"Via Pietro Nenni","secondary",6,"43.7149728,10.4214977","43.7114958,10.4206545",392.253,393,23,61,"night"
7,23652392,"Via Pietro Nenni","secondary",6,"43.7110589,10.420667","43.7149592,10.4216014",439.854,435,25,63,"night"
8,5530581,"Via Vittorio Veneto","secondary",6,"43.7241501,10.4085276","43.7201804,10.4116774",534.985,532,33,58,"night"
9,22756394,"Largo Concetto Marchesi","residential",3,"43.7147767,10.4154706","43.7149967,10.4186284",255.747,1683,27,223,"night"
10,22998349,"Lungarno Bruno Buozzi","tertiary",4,"43.7139021,10.4085214","43.7129728,10.4094426",129.87,130,36,13,"night"
11,22879173,"Via Vincenzo Gioberti","residential",3,"43.7130444,10.4140899","43.7155623,10.4126274",313.045,315,28,40,"night"
12,182850701,"Via Lucchese","tertiary",4,"43.7248799,10.4086442","43.7256677,10.4040832",381.417,382,43,32,"night"
13,305150885,"Via Alessandro Volpi","secondary",6,"43.7194316,10.4203089","43.7205039,10.4215927",158.606,159,32,18,"night"
14,20184096,"Via Alessandro Volpi","secondary",6,"43.7189215,10.4201363","43.7191697,10.4198384",107.377,44,40,4,"night"
15,20184096,"Via Alessandro Volpi","secondary",6,"43.7206131,10.4216446","43.7205574,10.4217411",26.188,9,32,1,"night"
16,154695134,"Via Lucchese","tertiary",4,"43.7247228,10.4089552","43.7246694,10.408787",56.637,16,29,2,"night"
17,22331688,"Via Gino Luzzato","secondary",6,"43.7185349,10.4195966","43.7149728,10.4214977",468.418,469,38,44,"night"
18,22331688,"Via Gino Luzzato","secondary",6,"43.7149592,10.4216014","43.7189215,10.4201363",485.202,484,44,40,"night"
19,914150576,"Via Mahatma Gandhi","tertiary",4,"43.7233343,10.4156571","43.7246497,10.4160267",153.622,152,46,12,"night"
20,914150577,"Via Mahatma Gandhi","tertiary",4,"43.723137,10.4158263","43.7231428,10.4155164",50.514,24,29,3,"night"
21,5532527,"Largo San Zeno","secondary",6,"43.7241392,10.4074209","43.723718,10.4079327",62.845,67,34,7,"night"
22,5532527,"Largo San Zeno","secondary",6,"43.7238522,10.4081109","43.7243786,10.4083981",62.899,65,23,10,"night"
23,5532527,"Largo San Zeno","secondary",6,"43.72367,10.4081384","43.7237548,10.4081285",33.857,8,29,1,"night"
24,22756395,"Via Enrico Betti","residential",3,"43.71468606,10.4147375","43.7147767,10.4154706",59.941,61,24,9,"night"
25,53352069,"Via San Francesco","tertiary",4,"43.7187854,10.4104574","43.7185484,10.407387",248.841,250,31,29,"night"
26,5532529,"Largo San Zeno","secondary",6,"43.7237826,10.4080733","43.7238522,10.4081109",8.305,7,25,1,"night"
27,5532529,"Largo San Zeno","secondary",6,"43.7237453,10.4086219","43.7237364,10.4083325",24.938,23,28,3,"night"
28,19881666,"Via Edmondo De Amicis","tertiary",4,"43.7167983,10.4086851","43.7187854,10.4104574",264.892,266,40,24,"night"
29,23041063,"Via Filippo Buonarroti","tertiary",4,"43.719991,10.4073511","43.7227183,10.406856",313.618,315,31,37,"night"
30,23041063,"Via Filippo Buonarroti","tertiary",4,"43.7185484,10.407387","43.7194857,10.4073934",104.155,104,29,13,"night"
31,22756393,"Piazza Bartolo da Sassoferrato","residential",3,"43.7137633,10.4148855","43.7142393,10.4148417",54.474,56,20,10,"night"
32,5531268,"Via Angelo Battelli","residential",3,"43.7190161,10.4107341","43.7187854,10.4104574",34.13,33,30,4,"night"
33,5531268,"Via Angelo Battelli","residential",3,"43.7201097,10.4116481","43.7190161,10.4107341",142.38,141,39,13,"night"
34,5531268,"Via Angelo Battelli","residential",3,"43.7190161,10.4107341","43.7188246,10.4108639",29.421,30,36,3,"night"
35,5531268,"Via Angelo Battelli","residential",3,"43.720145,10.4118468","43.7201983,10.4117224",51.824,15,18,3,"night"
36,216688809,"Ponte della Fortezza","tertiary",24,"43.7131101,10.4078224","43.7139021,10.4085214",104.556,106,27,14,"night"
37,172260489,"Via Manara Valgimigli","tertiary",4,"43.7148018,10.4228048","43.7149967,10.4186284",231.876,1286,28,163,"night"
38,7997357,"Via San Giovanni Bosco","tertiary",4,"43.7187854,10.4104574","43.7189213,10.4192172",736.227,737,39,68,"night"
39,153762364,"Via Angelo Battelli","residential",3,"43.7203783,10.4119035","43.7228517,10.413959",321.072,321,33,35,"night"
40,305150886,"Via Giuseppe Moruzzi","secondary",6,"43.719849,10.4232674","43.720509,10.42203",123.775,124,50,9,"night"
41,586894645,"Via Giuseppe Moruzzi","secondary",6,"43.7205632,10.4218318","43.7206196,10.4219079",32.811,7,25,1,"night"
42,306121758,"Via del Giardino","tertiary",4,"43.7165645,10.4074882","43.7167983,10.4086851",99.891,100,16,22,"night"
43,18504806,"Via Santa Marta","tertiary",4,"43.7147755,10.4089727","43.7139021,10.4085214",104.232,114,18,23,"night"
44,22998347,"Via Santa Marta","tertiary",4,"43.7147755,10.4089727","43.7167983,10.4086851",231.275,1075,28,137,"night"
45,20182095,"Lungarno Mediceo","tertiary",4,"43.7162818,10.4021489","43.7139021,10.4085214",579.583,582,31,68,"night"
46,22756396,"Via Baldo degli Ubaldi","residential",3,"43.7142393,10.4148417","43.71468721,10.41473408",50.516,48,22,8,"night"
47,22754018,"Via Renato Falconcini","residential",3,"43.7128677,10.4148689","43.7137633,10.4148855",99.516,101,21,17,"night"
48,55804752,"Via Alberto Paparelli","secondary",6,"43.723107,10.4150306","43.7244612,10.4099984",432.512,428,53,29,"night"
49,22887248,"Via San Zeno","tertiary",4,"43.7227183,10.406856","43.7235612,10.4078944",125.653,123,21,21,"night"
50,302077653,"Via San Zeno","tertiary",4,"43.7236725,10.4079423","43.7236307,10.408072",29.216,10,36,1,"night"
51,18500684,"Largo Bruno Pontecorvo","tertiary",4,"43.7194857,10.4073934","43.719991,10.4073511",56.289,57,29,7,"night"
52,371008465,"Via Provinciale Calcesana","secondary",6,"43.7211904,10.4225777","43.7207631,10.4217716",80.794,82,37,8,"night"
53,371008465,"Via Provinciale Calcesana","secondary",6,"43.7211904,10.4225777","43.7207502,10.4218438",77.37,77,40,7,"night"
54,371008465,"Via Provinciale Calcesana","secondary",6,"43.7214824,10.4230627","43.7211904,10.4225777",50.889,52,47,4,"night"
55,5530575,"Via Alberto Paparelli","secondary",6,"43.7245741,10.409536","43.7246654,10.4096648",75.698,16,58,1,"night"
56,5530575,"Via Alberto Paparelli","secondary",6,"43.7230887,10.4154196","43.7228535,10.4153566",72.009,26,31,3,"night"
57,22733272,"Via del Brennero","primary",7,"43.7244051,10.4084819","43.7231936,10.4033686",433.496,432,43,36,"night"
58,22733272,"Via del Brennero","primary",7,"43.7247798,10.409756","43.7282595,10.4170385",712.303,711,57,45,"night"
59,5534755,"Via del Brennero","primary",7,"43.7245464,10.4087455","43.7244631,10.4088158",54.134,10,36,1,"night"
60,5534755,"Via del Brennero","primary",7,"43.7247213,10.4095372","43.7246715,10.409098",36.297,36,43,3,"night"
61,5534755,"Via del Brennero","primary",7,"43.7245348,10.4091379","43.7246654,10.4096648",53.523,54,39,5,"night"
62,5534755,"Via del Brennero","primary",7,"43.7246654,10.4096648","43.7247213,10.4095372",13.33,13,23,2,"night"
63,5534755,"Via del Brennero","primary",7,"43.7246654,10.4096648","43.7247213,10.4095372",33.681,13,23,2,"night"
64,586894648,"Via di Pratale","secondary",6,"43.7207559,10.4213933","43.7207928,10.4212975",8.741,8,29,1,"night"
65,20179148,"Via di Pratale","tertiary",3,"43.7224377,10.4154385","43.7241501,10.4085276",612.211,607,30,73,"night"
66,20179148,"Via di Pratale","tertiary",3,"43.7227171,10.4155317","43.7224377,10.4154385",41.397,41,30,5,"night"
