"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
1,172260488,"Via Manara Valgimigli","tertiary",4,"43.7148018,10.4228048","43.7149967,10.4186284",98.545,1286,28,167,"evening"
2,172260489,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",231.876,338,20,60,"evening"
3,172260488,"Via Manara Valgimigli","tertiary",4,"43.7149967,10.4186284","43.7148018,10.4228048",98.545,338,20,60,"evening"
4,332517044,"Via Silvestro Centofanti","residential",3,"43.7189284,10.4122208","43.7200957,10.4118406",135.941,135,24,20,"evening"
5,102841475,"Via Giuseppe Garibaldi","tertiary",4,"43.7183882,10.4185568","43.7155623,10.4126274",581.647,580,37,56,"evening"
6,23652392,"Via Pietro Nenni","secondary",6,"43.7149728,10.4214977","43.7114958,10.4206545",392.253,393,33,43,"evening"
7,23652392,"Via Pietro Nenni","secondary",6,"43.7110589,10.420667","43.7149592,10.4216014",439.854,435,16,100,"evening"
8,5530581,"Via Vittorio Veneto","secondary",6,"43.7241501,10.4085276","43.7201804,10.4116774",534.985,532,29,65,"evening"
9,22756394,"Largo Concetto Marchesi","residential",3,"43.7147767,10.4154706","43.7149967,10.4186284",255.747,1683,28,216,"evening"
10,22998349,"Lungarno Bruno Buozzi","tertiary",4,"43.7139021,10.4085214","43.7129728,10.4094426",129.87,130,28,17,"evening"
11,22879173,"Via Vincenzo Gioberti","residential",3,"43.7130444,10.4140899","43.7155623,10.4126274",313.045,315,26,44,"evening"
12,182850701,"Via Lucchese","tertiary",4,"43.7248799,10.4086442","43.7256677,10.4040832",381.417,382,39,35,"evening"
13,305150885,"Via Alessandro Volpi","secondary",6,"43.7194316,10.4203089","43.7205039,10.4215927",158.606,159,36,16,"evening"
14,20184096,"Via Alessandro Volpi","secondary",6,"43.7189215,10.4201363","43.7191697,10.4198384",107.377,44,53,3,"evening"
15,20184096,"Via Alessandro Volpi","secondary",6,"43.7206131,10.4216446","43.7205574,10.4217411",26.188,9,32,1,"evening"
16,154695134,"Via Lucchese","tertiary",4,"43.7247228,10.4089552","43.7246694,10.408787",56.637,16,58,1,"evening"
17,22331688,"Via Gino Luzzato","secondary",6,"43.7185349,10.4195966","43.7149728,10.4214977",468.418,469,25,68,"evening"
18,22331688,"Via Gino Luzzato","secondary",6,"43.7149592,10.4216014","43.7189215,10.4201363",485.202,484,39,45,"evening"
19,914150576,"Via Mahatma Gandhi","tertiary",4,"43.7233343,10.4156571","43.7246497,10.4160267",153.622,152,42,13,"evening"
20,914150577,"Via Mahatma Gandhi","tertiary",4,"43.723137,10.4158263","43.7231428,10.4155164",50.514,24,29,3,"evening"
21,5532527,"Largo San Zeno","secondary",6,"43.7241392,10.4074209","43.723718,10.4079327",62.845,67,27,9,"evening"
22,5532527,"Largo San Zeno","secondary",6,"43.7238522,10.4081109","43.7243786,10.4083981",62.899,65,23,10,"evening"
