"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
79,23041063,"Via Filippo Buonarroti","tertiary",4,"43.7227183,10.406856","43.719991,10.4073511",313.618,315,22,52,"day"
80,18500684,"Largo Bruno Pontecorvo","tertiary",4,"43.719991,10.4073511","43.7194857,10.4073934",56.289,57,23,9,"day"
81,23041063,"Via Filippo Buonarroti","tertiary",4,"43.7194857,10.4073934","43.7185484,10.407387",104.155,104,25,15,"day"
82,55804752,"Via Alberto Paparelli","secondary",6,"43.7244612,10.4099984","43.723107,10.4150306",432.512,428,37,42,"day"
83,914150576,"Via Mahatma Gandhi","tertiary",4,"43.7246497,10.4160267","43.7233343,10.4156571",153.622,152,36,15,"day"
84,153762364,"Via Angelo Battelli","residential",3,"43.7228517,10.413959","43.7203783,10.4119035",321.072,321,30,38,"day"
85,305150886,"Via Giuseppe Moruzzi","secondary",6,"43.720509,10.42203","43.719849,10.4232674",123.775,124,37,12,"day"
86,305150885,"Via Alessandro Volpi","secondary",6,"43.7205039,10.4215927","43.7194316,10.4203089",158.606,244,20,43,"day"
87,102841475,"Via Giuseppe Garibaldi","tertiary",4,"43.7155623,10.4126274","43.7183882,10.4185568",581.647,580,29,73,"day"
88,216688809,"Ponte della Fortezza","tertiary",24,"43.7139021,10.4085214","43.7131101,10.4078224",104.556,121,17,25,"day"
89,18504806,"Via Santa Marta","tertiary",4,"43.7139021,10.4085214","43.7147755,10.4089727",104.232,105,17,22,"day"
90,25365523,"Via Pasquale Landi","residential",3,"43.7130799,10.4162781","43.7137633,10.4148855",138.311,218,15,51,"day"
91,22756395,"Via Enrico Betti","residential",3,"43.7147767,10.4154706","43.71468606,10.4147375",59.941,61,22,10,"day"
92,22756394,"Largo Concetto Marchesi","residential",3,"43.7149967,10.4186284","43.7147767,10.4154706",255.747,258,21,44,"day"
93,586028856,"Via Guido De Ruggiero","tertiary",4,"43.7135666,10.4279586","43.7148018,10.4228048",440.926,440,34,46,"day"
94,586894648,"Via di Pratale","secondary",6,"43.7207928,10.4212975","43.7207559,10.4213933",8.741,1027,18,202,"day"
95,586028856,"Via Guido De Ruggiero","tertiary",4,"43.7148018,10.4228048","43.7135666,10.4279586",440.926,440,34,46,"day"
96,5532529,"Largo San Zeno","secondary",6,"43.7238522,10.4081109","43.7237826,10.4080733",8.305,400,15,93,"day"
97,5532529,"Largo San Zeno","secondary",6,"43.7237364,10.4083325","43.7237453,10.4086219",24.938,23,21,4,"day"
