"id","osm_id","name","highway","z_order","xy_start","xy_end","length","distance","speed","travel_time","daytime"
4,1,"Via Silvestro Centofanti","tertiary",0,"43.7189284,10.4122208","43.7200957,10.4118406","43.7200957,10.4118406",135,26,19,"day"
5,2,"Via Giuseppe Garibaldi","tertiary",0,"43.7183882,10.4185568","43.7155623,10.4126274","43.7155623,10.4126274",580,24,86,"day"
6,3,"Via Pietro Nenni","secondary",0,"43.7149728,10.4214977","43.7114958,10.4206545","43.7114958,10.4206545",393,26,55,"day"
7,4,"Via Pietro Nenni","secondary",0,"43.7110589,10.420667","43.7149592,10.4216014","43.7149592,10.4216014",435,18,86,"day"
8,5,"Via Vittorio Veneto","secondary",0,"43.7241501,10.4085276","43.7201804,10.4116774","534.985",532,22,88,"day"
9,6,"Largo Concetto Marchesi","residential",0,"43.7147767,10.4154706","43.7150268,10.4185764","255.747",251,23,40,"day"
10,7,"Lungarno Bruno Buozzi","tertiary",0,"43.7139021,10.4085214","43.7129728,10.4094426","43.7129728,10.4094426",130,26,18,"day"
11,8,"Via Vincenzo Gioberti","residential",0,"43.7130444,10.4140899","43.7155623,10.4126274","43.7155623,10.4126274",315,25,46,"day"
12,9,"Via Lucchese","tertiary",0,"43.7248799,10.4086442","43.7256677,10.4040832","381.417",382,24,57,"day"
13,10,"Via Alessandro Volpi","secondary",0,"43.7194316,10.4203089","43.7205039,10.4215927","158.606",159,12,48,"day"
19,16,"Via Mahatma Gandhi","unclassified",0,"43.7233343,10.4156571","43.7246497,10.4160267","43.7246497,10.4160267",152,42,13,"day"
17,14,"Via Gino Luzzato","secondary_dual_lane",0,"43.7185349,10.4195966","43.7149728,10.4214977","468.418",469,12,144,"day"
18,15,"Via Gino Luzzato","secondary_dual_lane",0,"43.7149592,10.4216014","43.7189215,10.4201363","485.202",484,30,59,"day"
21,18,"Largo San Zeno","secondary",0,"43.7241392,10.4074209","43.723718,10.4079327","43.723718,10.4079327",67,22,11,"day"
22,19,"Largo San Zeno","secondary",0,"43.7238522,10.4081109","43.7243786,10.4083981","43.7243786,10.4083981",65,17,14,"day"
24,21,"Via Enrico Betti","residential",0,"43.71468606,10.4147375","43.7147767,10.4154706","43.7147767,10.4154706",61,24,9,"day"
25,22,"Via San Francesco","tertiary",0,"43.7187854,10.4104574","43.7185484,10.407387","43.7185484,10.407387",250,24,37,"day"
28,25,"Via Edmondo De Amicis","tertiary",0,"43.7167983,10.4086851","43.7187854,10.4104574","43.7187854,10.4104574",266,21,46,"day"
29,26,"Via Filippo Buonarroti","tertiary",0,"43.719991,10.4073511","43.7227183,10.406856","313.618",315,26,44,"day"
30,27,"Via Filippo Buonarroti","tertiary",0,"43.7185484,10.407387","43.7194857,10.4073934","43.7194857,10.4073934",104,29,13,"day"
31,28,"Piazza Bartolo da Sassoferrato","residential",0,"43.7137633,10.4148855","43.7142393,10.4148417","43.7142393,10.4148417",56,20,10,"day"
32,29,"Via Angelo Battelli","tertiary",0,"43.7190161,10.4107341","43.7187854,10.4104574","43.7187854,10.4104574",33,24,5,"day"
33,30,"Via Angelo Battelli","tertiary",0,"43.7201097,10.4116481","43.7190161,10.4107341","43.7190161,10.4107341",141,22,23,"day"
34,31,"Via Angelo Battelli","tertiary",0,"43.7190161,10.4107341","43.7188246,10.4108639","43.7188246,10.4108639",30,22,5,"day"
36,33,"Ponte della Fortezza","tertiary",0,"43.7131101,10.4078224","43.7139021,10.4085214","43.7139021,10.4085214",106,11,35,"day"
37,34,"Via Manara Valgimigli","tertiary",0,"43.7148018,10.4228048","43.7150810, 10.4187141","43.7150810, 10.4187141",329,15,79,"day"
38,35,"Via San Giovanni Bosco","tertiary",0,"43.7187854,10.4104574","43.7189213,10.4192172","736.227",737,25,107,"day"
39,36,"Via Angelo Battelli","residential",0,"43.7203783,10.4119035","43.7228517,10.413959","321.072",321,29,40,"day"
40,37,"Via Giuseppe Moruzzi","secondary",0,"43.719849,10.4232674","43.720509,10.42203","43.720509,10.42203",124,5,82,"day"
42,39,"Via del Giardino","tertiary",0,"43.7165645,10.4074882","43.7167983,10.4086851","43.7167983,10.4086851",100,6,56,"day"
43,40,"Via Santa Marta","tertiary",0,"43.7147755,10.4089727","43.7139021,10.4085214","43.7139021,10.4085214",114,12,33,"day"
44,41,"Via Santa Marta","tertiary",0,"43.7147755,10.4089727","43.7167974,10.4088015","231.275",228,14,58,"day"
45,42,"Lungarno Mediceo","tertiary",0,"43.7162818,10.4021489","43.7139021,10.4085214","579.583",582,9,230,"day"
46,43,"Via Baldo degli Ubaldi","residential",0,"43.7142393,10.4148417","43.71468721,10.41473408","43.71468721,10.41473408",48,22,8,"day"
47,44,"Via Renato Falconcini","residential",0,"43.7128677,10.4148689","43.7137633,10.4148855","43.7137633,10.4148855",101,24,15,"day"
48,45,"Via Alberto Paparelli","secondary",0,"43.723107,10.4150306","43.7244612,10.4099984","432.512",428,33,46,"day"
49,46,"Via San Zeno","tertiary",0,"43.7227183,10.406856","43.7235612,10.4078944","43.7235612,10.4078944",123,22,20,"day"
51,48,"Largo Bruno Pontecorvo","tertiary",0,"43.7194857,10.4073934","43.719991,10.4073511","43.719991,10.4073511",57,29,7,"day"
52,49,"Via Provinciale Calcesana","secondary",0,"43.7211904,10.4225777","43.7207631,10.4217716","43.7207631,10.4217716",82,14,21,"day"
53,50,"Via Provinciale Calcesana","secondary",0,"43.7211904,10.4225777","43.7207502,10.4218438","43.7207502,10.4218438",77,15,19,"day"
54,51,"Via Provinciale Calcesana","secondary",0,"43.7214824,10.4230627","43.7211904,10.4225777","43.7211904,10.4225777",52,19,10,"day"
57,54,"Via del Brennero","primary",0,"43.7244051,10.4084819","43.7231936,10.4033686","433.496",432,38,41,"day"
58,55,"Via del Brennero","primary",0,"43.7247798,10.409756","43.7282595,10.4170385","43.7282595,10.4170385",711,53,48,"day"
64,61,"Via di Pratale","secondary",0,"43.7207559,10.4213933","43.7207928,10.4212975","43.7207928,10.4212975",8,29,1,"day"
