"id","osm_id","name","highway","z_order","xy_start","xy_end","lenght"
1,332517044,"Via Silvestro Centofanti","tertiary",3,"43.7189284,10.4122208","43.7200957,10.4118406",135.941
2,102841475,"Via Giuseppe Garibaldi","tertiary",4,"43.7183882,10.4185568","43.7155623,10.4126274",581.647
3,23652392,"Via Pietro Nenni","secondary",6,"43.7149728,10.4214977","43.7114958,10.4206545",392.253
4,23652392,"Via Pietro Nenni","secondary",6,"43.7110589,10.420667","43.7149592,10.4216014",439.854
5,5530581,"Via Vittorio Veneto","secondary",6,"43.7241501,10.4085276","43.7201804,10.4116774",534.985
6,22756394,"Largo Concetto Marchesi","residential",3,"43.7147767,10.4154706","43.7149967,10.4186284",255.747
7,22998349,"Lungarno Bruno Buozzi","tertiary",4,"43.7139021,10.4085214","43.7129728,10.4094426",129.87
8,22879173,"Via Vincenzo Gioberti","residential",3,"43.7130444,10.4140899","43.7155623,10.4126274",313.045
9,182850701,"Via Lucchese","tertiary",4,"43.7248799,10.4086442","43.7256677,10.4040832",381.417
10,305150885,"Via Alessandro Volpi","secondary",6,"43.7194316,10.4203089","43.7205039,10.4215927",158.606
11,20184096,"Via Alessandro Volpi","secondary",6,"43.7189215,10.4201363","43.7191697,10.4198384",107.377
12,20184096,"Via Alessandro Volpi","secondary",6,"43.7206131,10.4216446","43.7205574,10.4217411",26.188
13,154695134,"Via Lucchese","tertiary",4,"43.7247228,10.4089552","43.7246694,10.408787",56.637
14,22331688,"Via Gino Luzzato","secondary",6,"43.7185349,10.4195966","43.7149728,10.4214977",468.418
15,22331688,"Via Gino Luzzato","secondary",6,"43.7149592,10.4216014","43.7189215,10.4201363",485.202
16,914150576,"Via Mahatma Gandhi","secondary",4,"43.7233343,10.4156571","43.7246497,10.4160267",153.622
17,914150577,"Via Mahatma Gandhi","secondary",4,"43.723137,10.4158263","43.7231428,10.4155164",50.514
18,5532527,"Largo San Zeno","secondary",6,"43.7241392,10.4074209","43.723718,10.4079327",62.845
19,5532527,"Largo San Zeno","secondary",6,"43.7238522,10.4081109","43.7243786,10.4083981",62.899
20,5532527,"Largo San Zeno","secondary",6,"43.72367,10.4081384","43.7237548,10.4081285",33.857
21,22756395,"Via Enrico Betti","residential",3,"43.71468606,10.4147375","43.7147767,10.4154706",59.941
22,53352069,"Via San Francesco","tertiary",4,"43.7187854,10.4104574","43.7185484,10.407387",248.841
23,5532529,"Largo San Zeno","secondary",6,"43.7237826,10.4080733","43.7238522,10.4081109",8.305
24,5532529,"Largo San Zeno","secondary",6,"43.7237453,10.4086219","43.7237364,10.4083325",24.938
25,19881666,"Via Edmondo De Amicis","tertiary",4,"43.7167983,10.4086851","43.7187854,10.4104574",264.892
26,23041063,"Via Filippo Buonarroti","tertiary",4,"43.719991,10.4073511","43.7227183,10.406856",313.618
27,23041063,"Via Filippo Buonarroti","tertiary",4,"43.7185484,10.407387","43.7194857,10.4073934",104.155
28,22756393,"Piazza Bartolo da Sassoferrato","residential",3,"43.7137633,10.4148855","43.7142393,10.4148417",54.474
29,5531268,"Via Angelo Battelli","tertiary",3,"43.7190161,10.4107341","43.7187854,10.4104574",34.13
30,5531268,"Via Angelo Battelli","tertiary",3,"43.7201097,10.4116481","43.7190161,10.4107341",142.38
31,5531268,"Via Angelo Battelli","tertiary",3,"43.7190161,10.4107341","43.7188246,10.4108639",29.421
32,5531268,"Via Angelo Battelli","residential",3,"43.720145,10.4118468","43.7201983,10.4117224",51.824
